Condition,google_product_category,store_code,vehicle_fulfillment(option:store_code),Brand,Model,Year,Color,Mileage,Price,VIN,image_link,link_template
Used,123,xpremium,in_store:premium,HYUNDAI,,2019,Gray,64406,16900,5NMS2CAD5KH041586,https://premiumcarsfl.com/wp-content/uploads/2023/09/HYUNDAISANTAFE-041586-02.jpg,https://premiumcarsfl.com/listing/2019-hyundai-santa-fe-se-2-4l-awd-4dr-crossover/?store=xpremium
Used,123,xpremium,in_store:premium,HYUNDAI,ELANTRA,2020,White,53207,14900,5NPD84LF8LH630339,https://premiumcarsfl.com/wp-content/uploads/2023/09/HYUNDAIELANTRA2020-630339-02.jpg,https://premiumcarsfl.com/listing/2020-hyundai-elantra-sel-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,FIT,2019,Gray,85300,12900,3HGGK5H46KM726203,https://premiumcarsfl.com/wp-content/uploads/2023/09/HONDAFIT2019-726203-02.jpg,https://premiumcarsfl.com/listing/2019-honda-fit-lx-4dr-hatchback-cvt/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,CIVIC,2019,Black,19919,19900,JHMFE1F77NX007658,https://premiumcarsfl.com/wp-content/uploads/2023/09/HONDACIVIC2022-007658-02.jpg,https://premiumcarsfl.com/listing/2022-honda-civic-ex-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,CIVIC,2019,White,36062,29900,SHHFK8G73KU202534,https://premiumcarsfl.com/wp-content/uploads/2023/09/SHHFK8G73KU202534-02.jpg,https://premiumcarsfl.com/listing/2019-honda-civic-type-r-4dr-hatchback/?store=xpremium
Used,123,xpremium,in_store:premium,HONDA,ACCORD,2019,Black,100302,17900,1HGCV1F35KA086507,https://premiumcarsfl.com/wp-content/uploads/2023/09/HONDA-ACCORD086507-02.jpg,https://premiumcarsfl.com/listing/2019-honda-accord-sport-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,FORD,FUSION,2019,Red,60476,14900,3FA6P0HD9KR159458,https://premiumcarsfl.com/wp-content/uploads/2023/09/fordfusion2019-02.jpg,https://premiumcarsfl.com/listing/2019-ford-fusion-se-sedan-4d/?store=xpremium
Used,123,xpremium,in_store:premium,DODGE,CHARGER,2019,Black,70586,17900,2C3CDXBG8KH724963,https://premiumcarsfl.com/wp-content/uploads/2023/09/2.Dodgecharger2019.jpg,https://premiumcarsfl.com/listing/2019-dodge-charger-sxt-4dr-sedan/?store=xpremium
Used,123,xpremium,in_store:premium,DODGE,CHALLENGER,2019,Gray,79380,19900,2C3CDZBT9KH530001,https://premiumcarsfl.com/wp-content/uploads/2023/09/2C3CDZBT9KH530001-02.jpg,https://premiumcarsfl.com/listing/2019-dodge-challenger-r-t-2dr-coupe/?store=xpremium
Used,123,xpremium,in_store:premium,CHEVROLET,EQUINOX,2018,Red,122211,11995,2GNAXJEV0J6241986,https://premiumcarsfl.com/wp-content/uploads/2023/09/2-4.jpg,https://premiumcarsfl.com/listing/2018-chevrolet-equinox-lt-4dr-suv/?store=xpremium
